Sigla;Codice catalogo;Codice interno;Costruttore;Descrizione;Qta;Ubicazione;Quadro;Gr_Funzione;Prezzo;Sconto;Dimensioni;Foglio;Note;Note Tecniche
SB10A;ZBE-102;HHPULS_SB111;SCHNEIDER;CONTATTO N.C. PER PULSANTI E SELETTORI;1;;DHH0090;;0.00;0.00;;41;R;
SB10B;ZBE-102;HHPULS_SB111;SCHNEIDER;CONTATTO N.C. PER PULSANTI E SELETTORI;1;;DHH0090;;0.00;0.00;;41;R;
SB10D;ZBE-102;HHPULS_SB111;SCHNEIDER;CONTATTO N.C. PER PULSANTI E SELETTORI;1;;DHH0090;;0.00;0.00;;49;R;
SB6A;ZB4-BW363;HHPULS_SB135;SCHNEIDER;TESTA PER PULSANTE LUMINOSO BLU;1;;DHH0090;;0.00;0.00;;46;R;
SB6B;ZB4-BW363;HHPULS_SB135;SCHNEIDER;TESTA PER PULSANTE LUMINOSO BLU;1;;DHH0090;;0.00;0.00;;46;R;
SB6D;ZB4-BW363;HHPULS_SB135;SCHNEIDER;TESTA PER PULSANTE LUMINOSO BLU;1;;DHH0090;;0.00;0.00;;46;R;
SB10A;ZB4-BS844;HHPULS_SB136;SCHNEIDER;TESTA PER PULSANTE A FUNGO DI EMERGENZA;1;;DHH0090;;0.00;0.00;;41;R;
SB10B;ZB4-BS844;HHPULS_SB136;SCHNEIDER;TESTA PER PULSANTE A FUNGO DI EMERGENZA;1;;DHH0090;;0.00;0.00;;41;R;
SB10D;ZB4-BS844;HHPULS_SB136;SCHNEIDER;TESTA PER PULSANTE A FUNGO DI EMERGENZA;1;;DHH0090;;0.00;0.00;;49;R;
SB1;ZB4-BA331;HHPULS_SB145;SCHNEIDER;TESTA PER PULSANTE VERDE;1;;DHH0090;;0.00;0.00;;54;R;
SB2;ZB4-BL432;HHPULS_SB146;SCHNEIDER;TESTA PER PULSANTE ROSSO;1;;DHH0090;;0.00;0.00;;54;R;
KA0;779211;HHRELE_KA057;PILZ;MODULO DI MEMORIA 32KB;1;;DHH0090;;;0.00;;44;R;
KA0;751008;HHRELE_KA060;PILZ;SET MORSETTI A MOLLA PNOZ M0P;1;;DHH0090;;;0.00;;44;R;
KA0;772100;HHRELE_KA077;PILZ;RELE'' DI SICUREZZA PROGRAMMABILE PNOZ m B0;1;;DHH0090;;;0.00;;44;R;
KA0;772142;HHRELE_KA078;PILZ;MODULO ESPANSIONE 8 INGRESSI + 4 USCITE;1;;DHH0090;;;0.00;;44;R;
KA0;751004;HHRELE_KA079;PILZ;SET MORSETTI A MOLLA;1;;DHH0090;;;0.00;;44;R;
KA12;RSL1PRBU;HHRELE_KA092;SCHNEIDER;RELE'' CON CONTATTO IN SCAMBIO - 24VDC;1;;DHH0090;;0.00;0.00;;26;R;
KA22;RSL1PRBU;HHRELE_KA092;SCHNEIDER;RELE'' CON CONTATTO IN SCAMBIO - 24VDC;1;;DHH0090;;0.00;0.00;;26;R;
KA25;RSL1PRBU;HHRELE_KA092;SCHNEIDER;RELE'' CON CONTATTO IN SCAMBIO - 24VDC;1;;DHH0090;;0.00;0.00;;26;R;
KA32;RSL1PRBU;HHRELE_KA092;SCHNEIDER;RELE'' CON CONTATTO IN SCAMBIO - 24VDC;1;;DHH0090;;0.00;0.00;;26;R;
KA34;RSL1PRBU;HHRELE_KA092;SCHNEIDER;RELE'' CON CONTATTO IN SCAMBIO - 24VDC;1;;DHH0090;;0.00;0.00;;26;R;
KA47;RSL1PRBU;HHRELE_KA092;SCHNEIDER;RELE'' CON CONTATTO IN SCAMBIO - 24VDC;1;;DHH0090;;0.00;0.00;;26;R;
KA87;RSL1PRBU;HHRELE_KA092;SCHNEIDER;RELE'' CON CONTATTO IN SCAMBIO - 24VDC;1;;DHH0090;;0.00;0.00;;26;R;
KA88;RSL1PRBU;HHRELE_KA092;SCHNEIDER;RELE'' CON CONTATTO IN SCAMBIO - 24VDC;1;;DHH0090;;0.00;0.00;;57;R;
KA95;RSL1PRBU;HHRELE_KA092;SCHNEIDER;RELE'' CON CONTATTO IN SCAMBIO - 24VDC;1;;DHH0090;;0.00;0.00;;26;R;
EB11;HMISTU855W;HHSCH0_EB131;SCHNEIDER;PANNELLO OPERATORE A SCHERMO TATTILE;1;;DHH0101;;0.00;0.00;;52;R;
SWITCH/1;2891002;HHSCH0_EB236;PHOENIX CONTACT;SWITCH ETHERNET 8 PORTE;1;;DHH0090;;;0.00;;53;R;
SA1;ZB4-BG2;HHSELE_SA032;SCHNEIDER;TESTA PER SELETTORE A CHIAVE;1;;DHH0090;;0.00;0.00;;54;R;
SQ5;ZCQ-2255;HHSENS_SQ010;OMRON;FINECORSA A ROTELLA 1 CONTATTO SCAMBIO;1;;DHH0160;;;0.00;;60;R;
SQ6;ZCQ-2255;HHSENS_SQ010;OMRON;FINECORSA A ROTELLA 1 CONTATTO SCAMBIO;1;;DHH0160;;;0.00;;60;R;
SQ37;Y92E-B8;HHSENS_SQ110;OMRON;SUPPORTO PER SENSORE M8;1;;DHH0110;;;0.00;;59;R;
SQ42;Y92E-B8;HHSENS_SQ110;OMRON;SUPPORTO PER SENSORE M8;1;;DHH0110;;;0.00;;59;R;
B1;Y92E-B18;HHSENS_SQ111;OMRON;SUPPORTO PER SENSORE M18;1;;DHH0210;;;0.00;;65;R;
B12A;Y92E-B18;HHSENS_SQ111;OMRON;SUPPORTO PER SENSORE M18;1;;DHH0210;;;0.00;;64;R;
B12B;Y92E-B18;HHSENS_SQ111;OMRON;SUPPORTO PER SENSORE M18;1;;DHH0210;;;0.00;;64;R;
B35A;Y92E-B18;HHSENS_SQ111;OMRON;SUPPORTO PER SENSORE M18;1;;DHH0210;;;0.00;;65;R;
B35B;Y92E-B18;HHSENS_SQ111;OMRON;SUPPORTO PER SENSORE M18;1;;DHH0210;;;0.00;;65;R;
B35C;Y92E-B18;HHSENS_SQ111;OMRON;SUPPORTO PER SENSORE M18;1;;DHH0210;;;0.00;;65;R;
B35D;Y92E-B18;HHSENS_SQ111;OMRON;SUPPORTO PER SENSORE M18;1;;DHH0210;;;0.00;;65;R;
B38;Y92E-B18;HHSENS_SQ111;OMRON;SUPPORTO PER SENSORE M18;1;;DHH0210;;;0.00;;65;R;
B43;Y92E-B18;HHSENS_SQ111;OMRON;SUPPORTO PER SENSORE M18;1;;DHH0210;;;0.00;;65;R;
SQ18A;Y92E-B18;HHSENS_SQ111;OMRON;SUPPORTO PER SENSORE M18;1;;DHH0300;;;0.00;;49;R;
SQ18B;Y92E-B18;HHSENS_SQ111;OMRON;SUPPORTO PER SENSORE M18;1;;DHH0300;;;0.00;;49;R;
B14A;Y92E-B18;HHSENS_SQ111;OMRON;SUPPORTO PER SENSORE M18;1;;DHH0500;;;0.00;;66;R;
B14B;Y92E-B18;HHSENS_SQ111;OMRON;SUPPORTO PER SENSORE M18;1;;DHH0500;;;0.00;;66;R;
B33A;Y92E-B18;HHSENS_SQ111;OMRON;SUPPORTO PER SENSORE M18;1;;DHH0500;;;0.00;;64;R;
B33B;Y92E-B18;HHSENS_SQ111;OMRON;SUPPORTO PER SENSORE M18;1;;DHH0500;;;0.00;;64;R;
B33C;Y92E-B18;HHSENS_SQ111;OMRON;SUPPORTO PER SENSORE M18;1;;DHH0500;;;0.00;;64;R;
SQ34;IGT203;HHSENS_SQ119 ;IFM;SENSORE DI PROSSIMITA'' M18 24VDC - CONNETTORE M12;1;;DHH0170;;;0.00;;62;R;
SQ30A;IGT203;HHSENS_SQ119 ;IFM;SENSORE DI PROSSIMITA'' M18 24VDC - CONNETTORE M12;1;;DHH0210;;;0.00;;64;R;
SQ30B;IGT203;HHSENS_SQ119 ;IFM;SENSORE DI PROSSIMITA'' M18 24VDC - CONNETTORE M12;1;;DHH0210;;;0.00;;64;R;
SQ37;IE5295;HHSENS_SQ126;IFM;SENSORE DI PROSSIMITA'' M8 24VDC - CONNETTORE M12;1;;DHH0110;;;0.00;;59;R;
SQ42;IE5295;HHSENS_SQ126;IFM;SENSORE DI PROSSIMITA'' M8 24VDC - CONNETTORE M12;1;;DHH0110;;;0.00;;59;R;
SQ1;XCK-M110H29;HHSENS_SQ146;SCHNEIDER;FINECORSA A PULSANTE 1 N.C. + 1 N.O.;1;;DHH0110;;0.00;0.00;;58;R;
SQ2;XCK-M110H29;HHSENS_SQ146;SCHNEIDER;FINECORSA A PULSANTE 1 N.C. + 1 N.O.;1;;DHH0110;;0.00;0.00;;58;R;
SQ3;XCK-M110H29;HHSENS_SQ146;SCHNEIDER;FINECORSA A PULSANTE 1 N.C. + 1 N.O.;1;;DHH0110;;0.00;0.00;;58;R;
SQ18A;440N-Z21S16H;HHSENS_SQ162;ALLEN BRADLEY;FINECORSA DI SICUREZZA MAGNETICO;1;;DHH0300;;0.00;0.00;;49;R;
SQ18B;440N-Z21S16H;HHSENS_SQ162;ALLEN BRADLEY;FINECORSA DI SICUREZZA MAGNETICO;1;;DHH0300;;0.00;0.00;;49;R;
SQ12;124225;HHSENS_SQ254;EUCHNER;FINECORSA DI SICUREZZA;1;;DHH0300;;;0.00;;41;R;
SQ13;124225;HHSENS_SQ254;EUCHNER;FINECORSA DI SICUREZZA;1;;DHH0300;;;0.00;;41;R;
SQ14;124225;HHSENS_SQ254;EUCHNER;FINECORSA DI SICUREZZA;1;;DHH0300;;;0.00;;41;R;
SQ15;124225;HHSENS_SQ254;EUCHNER;FINECORSA DI SICUREZZA;1;;DHH0300;;;0.00;;42;R;
SQ16A;124225;HHSENS_SQ254;EUCHNER;FINECORSA DI SICUREZZA;1;;DHH0300;;;0.00;;42;R;
SQ16B;124225;HHSENS_SQ254;EUCHNER;FINECORSA DI SICUREZZA;1;;DHH0300;;;0.00;;42;R;
SQ22;124225;HHSENS_SQ254;EUCHNER;FINECORSA DI SICUREZZA;1;;DHH0300;;;0.00;;42;R;
SQ12;122667;HHSENS_SQ255;EUCHNER;ATTUATORE FINECORSA DI SICUREZZA;1;;DHH0300;;;0.00;;41;R;
SQ13;122667;HHSENS_SQ255;EUCHNER;ATTUATORE FINECORSA DI SICUREZZA;1;;DHH0300;;;0.00;;41;R;
SQ14;122667;HHSENS_SQ255;EUCHNER;ATTUATORE FINECORSA DI SICUREZZA;1;;DHH0300;;;0.00;;41;R;
SQ15;122667;HHSENS_SQ255;EUCHNER;ATTUATORE FINECORSA DI SICUREZZA;1;;DHH0300;;;0.00;;42;R;
SQ16A;122667;HHSENS_SQ255;EUCHNER;ATTUATORE FINECORSA DI SICUREZZA;1;;DHH0300;;;0.00;;42;R;
SQ16B;122667;HHSENS_SQ255;EUCHNER;ATTUATORE FINECORSA DI SICUREZZA;1;;DHH0300;;;0.00;;42;R;
SQ22;122667;HHSENS_SQ255;EUCHNER;ATTUATORE FINECORSA DI SICUREZZA;1;;DHH0300;;;0.00;;42;R;
QS8;T0-2-15679/I/SVB;HHSEZ0_QS017;KLOCKNER & M.;SEZIONATORE IN CASSETTA 3 POLI 4KW CON CONTATTO N.O.;1;;DHH0240;;;0.00;;8;R;
QS0;GS2 F4;HHSEZ0_QS047;SCHNEIDER;INTERRUTTORE SEZIONATORE FUSIBILIATO;1;;DHH0090;;0.00;0.00;;2;R;
